make,model,year,mileage,engine,transmission,fuel_type,location,condition,price,vehicle_age,mileage_per_year,engine_size,luxury_brand,automatic_flag
Toyota,Premio,2019,29688,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000,7,4241.142857142857,1.8,0,1
Subaru,Outback,2020,29861,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000,6,4976.833333333333,2.5,0,1
Mazda,CX-5,2021,30034,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000,5,6006.8,2.2,0,1
Mercedes-Benz,C200,2022,30207,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500,4,7551.75,2.0,1,1
Nissan,X-Trail,2008,30380,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500,18,1687.7777777777778,2.0,0,1
Honda,Fit,2009,30553,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500,17,1797.235294117647,1.5,0,0
BMW,X3,2010,30726,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000,16,1920.375,2.0,1,1
Audi,A4,2011,30899,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500,15,2059.9333333333334,2.0,1,1
Toyota,Premio,2012,31072,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000,14,2219.4285714285716,1.8,0,1
Subaru,Outback,2013,31245,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000,13,2403.4615384615386,2.5,0,1
Mazda,CX-5,2014,31418,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000,12,2618.1666666666665,2.2,0,1
Mercedes-Benz,C200,2015,31591,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500,11,2871.909090909091,2.0,1,1
Nissan,X-Trail,2016,31764,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500,10,3176.4,2.0,0,1
Honda,Fit,2017,31937,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500,9,3548.5555555555557,1.5,0,0
BMW,X3,2018,32110,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000,8,4013.75,2.0,1,1
Audi,A4,2019,32283,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499,7,4611.857142857143,2.0,1,1
Toyota,Premio,2020,32456,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000,6,5409.333333333333,1.8,0,1
Subaru,Outback,2021,32629,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000,5,6525.8,2.5,0,1
Mazda,CX-5,2022,32802,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000,4,8200.5,2.2,0,1
Mercedes-Benz,C200,2008,32975,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500,18,1831.9444444444443,2.0,1,1
Nissan,X-Trail,2009,33148,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499,17,1949.8823529411766,2.0,0,1
Honda,Fit,2010,33321,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500,16,2082.5625,1.5,0,0
BMW,X3,2011,33494,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000,15,2232.9333333333334,2.0,1,1
Audi,A4,2012,33667,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500,14,2404.785714285714,2.0,1,1
Toyota,Premio,2013,33840,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000,13,2603.076923076923,1.8,0,1
Subaru,Outback,2014,34013,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000,12,2834.4166666666665,2.5,0,1
Mazda,CX-5,2015,34186,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000,11,3107.818181818182,2.2,0,1
Mercedes-Benz,C200,2016,34359,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500,10,3435.9,2.0,1,1
Nissan,X-Trail,2017,34532,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500,9,3836.8888888888887,2.0,0,1
Honda,Fit,2018,34705,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500,8,4338.125,1.5,0,0
BMW,X3,2019,34878,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000,7,4982.571428571428,2.0,1,1
Audi,A4,2020,35051,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500,6,5841.833333333333,2.0,1,1
Toyota,Premio,2021,35224,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000,5,7044.8,1.8,0,1
Subaru,Outback,2022,35397,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000,4,8849.25,2.5,0,1
Mazda,CX-5,2008,35570,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000,18,1976.111111111111,2.2,0,1
Mercedes-Benz,C200,2009,35743,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499,17,2102.529411764706,2.0,1,1
Nissan,X-Trail,2010,35916,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500,16,2244.75,2.0,0,1
Honda,Fit,2011,36089,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500,15,2405.9333333333334,1.5,0,0
BMW,X3,2012,36262,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000,14,2590.1428571428573,2.0,1,1
Audi,A4,2013,36435,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500,13,2802.6923076923076,2.0,1,1
Toyota,Premio,2014,36608,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000,12,3050.6666666666665,1.8,0,1
Subaru,Outback,2015,36781,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000,11,3343.7272727272725,2.5,0,1
Mazda,CX-5,2016,36954,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000,10,3695.4,2.2,0,1
Mercedes-Benz,C200,2017,37127,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500,9,4125.222222222223,2.0,1,1
Nissan,X-Trail,2018,37300,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500,8,4662.5,2.0,0,1
Honda,Fit,2019,37473,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500,7,5353.285714285715,1.5,0,0
BMW,X3,2020,37646,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000,6,6274.333333333333,2.0,1,1
Audi,A4,2021,37819,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500,5,7563.8,2.0,1,1
Toyota,Premio,2022,37992,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000,4,9498.0,1.8,0,1
Subaru,Outback,2008,38165,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000,18,2120.277777777778,2.5,0,1
Mazda,CX-5,2009,38338,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000,17,2255.176470588235,2.2,0,1
Mercedes-Benz,C200,2010,38511,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500,16,2406.9375,2.0,1,1
Nissan,X-Trail,2011,38684,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500,15,2578.9333333333334,2.0,0,1
Honda,Fit,2012,38857,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500,14,2775.5,1.5,0,0
BMW,X3,2013,39030,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000,13,3002.3076923076924,2.0,1,1
Audi,A4,2014,39203,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499,12,3266.9166666666665,2.0,1,1
Toyota,Premio,2015,39376,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000,11,3579.6363636363635,1.8,0,1
Subaru,Outback,2016,39549,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000,10,3954.9,2.5,0,1
Mazda,CX-5,2017,39722,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000,9,4413.555555555556,2.2,0,1
Mercedes-Benz,C200,2018,39895,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500,8,4986.875,2.0,1,1
Nissan,X-Trail,2019,40068,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499,7,5724.0,2.0,0,1
Honda,Fit,2020,40241,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500,6,6706.833333333333,1.5,0,0
BMW,X3,2021,40414,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000,5,8082.8,2.0,1,1
Audi,A4,2022,40587,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500,4,10146.75,2.0,1,1
Toyota,Premio,2008,40760,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000,18,2264.4444444444443,1.8,0,1
Subaru,Outback,2009,40933,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000,17,2407.823529411765,2.5,0,1
Mazda,CX-5,2010,41106,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000,16,2569.125,2.2,0,1
Mercedes-Benz,C200,2011,41279,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500,15,2751.9333333333334,2.0,1,1
Nissan,X-Trail,2012,41452,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500,14,2960.8571428571427,2.0,0,1
Honda,Fit,2013,41625,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500,13,3201.923076923077,1.5,0,0
BMW,X3,2014,41798,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000,12,3483.1666666666665,2.0,1,1
Audi,A4,2015,41971,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500,11,3815.5454545454545,2.0,1,1
Toyota,Premio,2016,42144,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000,10,4214.4,1.8,0,1
Subaru,Outback,2017,42317,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000,9,4701.888888888889,2.5,0,1
Mazda,CX-5,2018,42490,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000,8,5311.25,2.2,0,1
Mercedes-Benz,C200,2019,42663,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499,7,6094.714285714285,2.0,1,1
Nissan,X-Trail,2020,42836,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500,6,7139.333333333333,2.0,0,1
Honda,Fit,2021,43009,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500,5,8601.8,1.5,0,0
BMW,X3,2022,43182,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000,4,10795.5,2.0,1,1
Audi,A4,2008,43355,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500,18,2408.6111111111113,2.0,1,1
Toyota,Premio,2009,43528,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000,17,2560.470588235294,1.8,0,1
Subaru,Outback,2010,43701,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000,16,2731.3125,2.5,0,1
Mazda,CX-5,2011,43874,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000,15,2924.9333333333334,2.2,0,1
Mercedes-Benz,C200,2012,44047,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500,14,3146.214285714286,2.0,1,1
Nissan,X-Trail,2013,44220,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500,13,3401.5384615384614,2.0,0,1
Honda,Fit,2014,44393,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500,12,3699.4166666666665,1.5,0,0
BMW,X3,2015,44566,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000,11,4051.4545454545455,2.0,1,1
Audi,A4,2016,44739,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500,10,4473.9,2.0,1,1
Toyota,Premio,2017,44912,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000,9,4990.222222222223,1.8,0,1
Subaru,Outback,2018,45085,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000,8,5635.625,2.5,0,1
Mazda,CX-5,2019,45258,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000,7,6465.428571428572,2.2,0,1
Mercedes-Benz,C200,2020,45431,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500,6,7571.833333333333,2.0,1,1
Nissan,X-Trail,2021,45604,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500,5,9120.8,2.0,0,1
Honda,Fit,2022,45777,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500,4,11444.25,1.5,0,0
BMW,X3,2008,45950,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000,18,2552.777777777778,2.0,1,1
Audi,A4,2009,46123,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499,17,2713.1176470588234,2.0,1,1
Toyota,Premio,2010,46296,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000,16,2893.5,1.8,0,1
Subaru,Outback,2011,46469,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000,15,3097.9333333333334,2.5,0,1
Mazda,CX-5,2012,46642,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000,14,3331.5714285714284,2.2,0,1
Mercedes-Benz,C200,2013,46815,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500,13,3601.153846153846,2.0,1,1
Nissan,X-Trail,2014,46988,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499,12,3915.6666666666665,2.0,0,1
Honda,Fit,2015,47161,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500,11,4287.363636363636,1.5,0,0
BMW,X3,2016,47334,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000,10,4733.4,2.0,1,1
Audi,A4,2017,47507,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500,9,5278.555555555556,2.0,1,1
Toyota,Premio,2018,47680,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000,8,5960.0,1.8,0,1
Subaru,Outback,2019,47853,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000,7,6836.142857142857,2.5,0,1
Mazda,CX-5,2020,48026,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000,6,8004.333333333333,2.2,0,1
Mercedes-Benz,C200,2021,48199,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500,5,9639.8,2.0,1,1
Nissan,X-Trail,2022,48372,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500,4,12093.0,2.0,0,1
Honda,Fit,2008,48545,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500,18,2696.9444444444443,1.5,0,0
BMW,X3,2009,48718,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000,17,2865.764705882353,2.0,1,1
Audi,A4,2010,48891,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500,16,3055.6875,2.0,1,1
Toyota,Premio,2011,49064,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000,15,3270.9333333333334,1.8,0,1
Subaru,Outback,2012,49237,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000,14,3516.9285714285716,2.5,0,1
Mazda,CX-5,2013,49410,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000,13,3800.769230769231,2.2,0,1
Mercedes-Benz,C200,2014,49583,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499,12,4131.916666666667,2.0,1,1
Nissan,X-Trail,2015,49756,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500,11,4523.272727272727,2.0,0,1
Honda,Fit,2016,49929,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500,10,4992.9,1.5,0,0
BMW,X3,2017,50102,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000,9,5566.888888888889,2.0,1,1
Audi,A4,2018,50275,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500,8,6284.375,2.0,1,1
Toyota,Premio,2019,50448,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000,7,7206.857142857143,1.8,0,1
Subaru,Outback,2020,50621,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000,6,8436.833333333334,2.5,0,1
Mazda,CX-5,2021,50794,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000,5,10158.8,2.2,0,1
Mercedes-Benz,C200,2022,50967,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500,4,12741.75,2.0,1,1
Nissan,X-Trail,2008,51140,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500,18,2841.1111111111113,2.0,0,1
Honda,Fit,2009,51313,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500,17,3018.4117647058824,1.5,0,0
BMW,X3,2010,51486,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000,16,3217.875,2.0,1,1
Audi,A4,2011,51659,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500,15,3443.9333333333334,2.0,1,1
Toyota,Premio,2012,51832,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000,14,3702.285714285714,1.8,0,1
Subaru,Outback,2013,52005,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000,13,4000.3846153846152,2.5,0,1
Mazda,CX-5,2014,52178,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000,12,4348.166666666667,2.2,0,1
Mercedes-Benz,C200,2015,52351,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500,11,4759.181818181818,2.0,1,1
Nissan,X-Trail,2016,52524,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500,10,5252.4,2.0,0,1
Honda,Fit,2017,52697,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500,9,5855.222222222223,1.5,0,0
BMW,X3,2018,52870,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000,8,6608.75,2.0,1,1
Audi,A4,2019,53043,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499,7,7577.571428571428,2.0,1,1
Toyota,Premio,2020,53216,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000,6,8869.333333333334,1.8,0,1
Subaru,Outback,2021,53389,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000,5,10677.8,2.5,0,1
Mazda,CX-5,2022,53562,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000,4,13390.5,2.2,0,1
Mercedes-Benz,C200,2008,53735,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500,18,2985.277777777778,2.0,1,1
Nissan,X-Trail,2009,53908,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499,17,3171.0588235294117,2.0,0,1
Honda,Fit,2010,54081,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500,16,3380.0625,1.5,0,0
BMW,X3,2011,54254,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000,15,3616.9333333333334,2.0,1,1
Audi,A4,2012,54427,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500,14,3887.6428571428573,2.0,1,1
Toyota,Premio,2013,54600,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000,13,4200.0,1.8,0,1
Subaru,Outback,2014,54773,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000,12,4564.416666666667,2.5,0,1
Mazda,CX-5,2015,54946,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000,11,4995.090909090909,2.2,0,1
Mercedes-Benz,C200,2016,55119,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500,10,5511.9,2.0,1,1
Nissan,X-Trail,2017,55292,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500,9,6143.555555555556,2.0,0,1
Honda,Fit,2018,55465,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500,8,6933.125,1.5,0,0
BMW,X3,2019,55638,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000,7,7948.285714285715,2.0,1,1
Audi,A4,2020,55811,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500,6,9301.833333333334,2.0,1,1
Toyota,Premio,2021,55984,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000,5,11196.8,1.8,0,1
Subaru,Outback,2022,56157,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000,4,14039.25,2.5,0,1
Mazda,CX-5,2008,56330,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000,18,3129.4444444444443,2.2,0,1
Mercedes-Benz,C200,2009,56503,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499,17,3323.705882352941,2.0,1,1
Nissan,X-Trail,2010,56676,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500,16,3542.25,2.0,0,1
