make,model,year,mileage,engine,transmission,fuel_type,location,condition,price
Subaru,Outback,2013,31245,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,31418,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,31591,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,31764,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,31937,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,32110,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,32283,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,32456,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,32629,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,32802,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,32975,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,33148,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,33321,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,33494,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,33667,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,33840,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,34013,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,34186,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,34359,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,34532,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,34705,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,34878,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2020,35051,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2021,35224,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2022,35397,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2008,35570,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2009,35743,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2010,35916,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2011,36089,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2012,36262,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2013,36435,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2014,36608,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2015,36781,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2016,36954,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2017,37127,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2018,37300,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2019,37473,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2020,37646,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2021,37819,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2022,37992,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2008,38165,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2009,38338,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2010,38511,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2011,38684,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2012,38857,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2013,39030,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2014,39203,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2015,39376,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2016,39549,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2017,39722,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2018,39895,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2019,40068,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2020,40241,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2021,40414,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2022,40587,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2008,40760,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,40933,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,41106,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,41279,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,41452,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,41625,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,41798,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,41971,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,42144,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,42317,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,42490,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,42663,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,42836,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,43009,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,43182,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,43355,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,43528,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,43701,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,43874,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,44047,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,44220,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,44393,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,44566,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,44739,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,44912,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,45085,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,45258,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,45431,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,45604,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,45777,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,45950,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,46123,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,46296,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,46469,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,46642,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,46815,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,46988,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,47161,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,47334,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,47507,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,47680,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,47853,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,48026,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,48199,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,48372,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,48545,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,48718,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,48891,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,49064,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,49237,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,49410,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,49583,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,49756,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,49929,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,50102,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,50275,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,50448,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,50621,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,50794,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,50967,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,51140,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,51313,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,51486,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,51659,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,51832,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,52005,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,52178,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,52351,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,52524,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,52697,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,52870,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,53043,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,53216,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,53389,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,53562,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,53735,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,53908,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,54081,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,54254,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,54427,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,54600,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,54773,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,54946,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,55119,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,55292,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,55465,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,55638,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2020,55811,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2021,55984,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2022,56157,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2008,56330,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2009,56503,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2010,56676,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2011,56849,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2012,57022,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2013,57195,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2014,57368,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2015,57541,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2016,57714,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2017,57887,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2018,58060,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2019,58233,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2020,58406,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2021,58579,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2022,58752,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2008,58925,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2009,59098,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2010,59271,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2011,59444,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2012,59617,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2013,59790,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2014,59963,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2015,60136,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2016,60309,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2017,60482,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2018,60655,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2019,60828,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2020,61001,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2021,61174,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2022,61347,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2008,61520,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,61693,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,61866,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,62039,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,62212,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,62385,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,62558,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,62731,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,62904,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,63077,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,63250,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,63423,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,63596,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,63769,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,63942,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,64115,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,64288,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,64461,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,64634,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,64807,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,64980,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,65153,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,65326,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,65499,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,65672,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,65845,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,66018,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,66191,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,66364,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,66537,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,66710,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,66883,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,67056,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,67229,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,67402,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,67575,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,67748,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,67921,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,68094,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,68267,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,68440,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,68613,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,68786,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,68959,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,69132,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,69305,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,69478,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,69651,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,69824,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,69997,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,70170,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
